rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
28;H28;Rare Holo;;Tyranocif;Tyranitar;Pokémon;Darkness;248;Naoyo Kimura;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/210010.jpg;ecard2
29;H29;Rare Holo;;Noctali;Umbreon;Pokémon;Darkness;197;Mitsuhiro Arita;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/210013.jpg;ecard2
30;H30;Rare Holo;;Empiflor;Victreebel;Pokémon;Grass;71;Miki Tanaka;https://www.pokepedia.fr/images/e/e3/Carte_Aquapolis_H30.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/210016.jpg;ecard2
31;H31;Rare Holo;;Rafflésia;Vileplume;Pokémon;Grass;45;Kyoko Umemoto;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/210018.jpg;ecard2
32;H32;Rare Holo;;Electhor;Zapdos;Pokémon;Lightning;145;Hajime Kusajima;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/210029.jpg;ecard2
33;1;Rare;;Pharamp;Ampharos;Pokémon;Lightning;181;Shin-ichi Yoshida;https://www.pokepedia.fr/images/a/aa/Carte_Aquapolis_1.png;https://images.pokemontcg.io/ecard2/1.png;ecard2
34;2;Rare;;Arcanin;Arcanine;Pokémon;Fire;59;Kyoko Umemoto;https://www.pokepedia.fr/images/4/49/Carte_Aquapolis_2.png;https://images.pokemontcg.io/ecard2/2.png;ecard2
35;3;Rare;;Migalos;Ariados;Pokémon;Grass;168;Shin-ichi Yoshida;https://www.pokepedia.fr/images/c/cb/Carte_Aquapolis_3.png;https://images.pokemontcg.io/ecard2/3.png;ecard2
36;4;Rare;;Azumarill;Azumarill;Pokémon;Water;184;Kagemaru Himeno;https://www.pokepedia.fr/images/1/17/Carte_Aquapolis_4.png;https://images.pokemontcg.io/ecard2/4.png;ecard2
37;5;Rare;;Joliflor;Bellossom;Pokémon;Grass;182;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/6/67/Carte_Aquapolis_5.png;https://images.pokemontcg.io/ecard2/5.png;ecard2
38;6;Rare;;Leuphorie;Blissey;Pokémon;Colorless;242;Naoyo Kimura;https://www.pokepedia.fr/images/8/87/Carte_Aquapolis_6.png;https://images.pokemontcg.io/ecard2/6.png;ecard2
39;7;Rare;;Donphan;Donphan;Pokémon;Fighting;232;Mitsuhiro Arita;https://www.pokepedia.fr/images/e/e7/Carte_Aquapolis_7.png;https://images.pokemontcg.io/ecard2/7.png;ecard2
40;8;Rare;;Électrode;Electrode;Pokémon;Lightning;101;Shin-ichi Yoshida;https://www.pokepedia.fr/images/e/e5/Carte_Aquapolis_8.png;https://images.pokemontcg.io/ecard2/8.png;ecard2
41;9;Rare;;Elekid;Elekid;Pokémon;Lightning;239;Hikaru Koike;https://www.pokepedia.fr/images/5/52/Carte_Aquapolis_9.png;https://images.pokemontcg.io/ecard2/9.png;ecard2
42;10;Rare;;Entei;Entei;Pokémon;Fire;244;Atsuko Nishida;https://www.pokepedia.fr/images/a/ad/Carte_Aquapolis_10.png;https://images.pokemontcg.io/ecard2/10.png;ecard2
43;11;Rare;;Mentali;Espeon;Pokémon;Psychic;196;Kyoko Umemoto;https://www.pokepedia.fr/images/b/b8/Carte_Aquapolis_11.png;https://images.pokemontcg.io/ecard2/11.png;ecard2
44;12;Rare;;Noadkoko;Exeggutor;Pokémon;Grass;103;Yukiko Baba;https://www.pokepedia.fr/images/0/04/Carte_Aquapolis_12.png;https://images.pokemontcg.io/ecard2/12.png;ecard2
45;13;Rare;;Noadkoko;Exeggutor;Pokémon;Psychic;103;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/0/02/Carte_Aquapolis_13.png;https://images.pokemontcg.io/ecard2/13.png;ecard2
46;14;Rare;;Démolosse;Houndoom;Pokémon;Fire;229;Naoyo Kimura;https://www.pokepedia.fr/images/4/42/Carte_Aquapolis_14.png;https://images.pokemontcg.io/ecard2/14.png;ecard2
47;15;Rare;;Démolosse;Houndoom;Pokémon;Darkness;229;Hajime Kusajima;https://www.pokepedia.fr/images/d/df/Carte_Aquapolis_15.png;https://images.pokemontcg.io/ecard2/15.png;ecard2
48;16;Rare;;Hypnomade;Hypno;Pokémon;Psychic;97;Mitsuhiro Arita;https://www.pokepedia.fr/images/5/5f/Carte_Aquapolis_16.png;https://images.pokemontcg.io/ecard2/16.png;ecard2
49;17;Rare;;Cotovol;Jumpluff;Pokémon;Grass;189;Yuka Morii;https://www.pokepedia.fr/images/7/7a/Carte_Aquapolis_17.png;https://images.pokemontcg.io/ecard2/17.png;ecard2
50;18;Rare;;Lippoutou;Jynx;Pokémon;Psychic;124;Hisao Nakamura;https://www.pokepedia.fr/images/8/8b/Carte_Aquapolis_18.png;https://images.pokemontcg.io/ecard2/18.png;ecard2
51;19;Rare;;Hyporoi;Kingdra;Pokémon;Water;230;Atsuko Nishida;https://www.pokepedia.fr/images/9/9c/Carte_Aquapolis_19.png;https://images.pokemontcg.io/ecard2/19.png;ecard2
