rank;number;rarety_type;ultra_type;fr_name;en_name;serie;super_type;energy;pokedex_number;artist;jap_url;list
50;50;Uncommon;;Zarbi H;Unown;1;Pokémon;Psychic;201;Shin-ichi Yoshikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478561.jpg;ex9
51;51;Uncommon;;Zarbi I;Unown;1;Pokémon;Psychic;201;Nakaoka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478562.jpg;ex9
52;52;Uncommon;;Zarbi J;Unown;1;Pokémon;Psychic;201;Nakaoka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478563.jpg;ex9
53;53;Common;;Zarbi K;Unown;1;Pokémon;Psychic;201;Nakaoka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478564.jpg;ex9
54;54;Uncommon;;Zarbi L;Unown;1;Pokémon;Psychic;201;Nakaoka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478671.jpg;ex9
55;55;Uncommon;;Zarbi M;Unown;1;Pokémon;Psychic;201;Nakaoka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478566.jpg;ex9
56;56;Common;;Zarbi N;Unown;1;Pokémon;Psychic;201;Nakaoka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478567.jpg;ex9
57;57;Common;;Zarbi O;Unown;1;Pokémon;Psychic;201;Nakaoka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478568.jpg;ex9
58;58;Common;;Zarbi P;Unown;1;Pokémon;Psychic;201;Kyoko Koizumi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478675.jpg;ex9
59;59;Uncommon;;Zarbi Q;Unown;1;Pokémon;Psychic;201;Nakaoka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478570.jpg;ex9
60;60;Uncommon;;Zarbi S;Unown;1;Pokémon;Psychic;201;Nakaoka;https://res.cloudinary.com/dkhwpritu/image/upload/v1557060720/modifs/zarb.jpg;ex9
61;61;Common;;Zarbi U;Unown;1;Pokémon;Psychic;201;Kyoko Koizumi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478678.jpg;ex9
62;62;Uncommon;;Zarbi V;Unown;1;Pokémon;Psychic;201;Kyoko Koizumi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478573.jpg;ex9
63;63;Uncommon;;Zarbi W;Unown;1;Pokémon;Psychic;201;Kyoko Koizumi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478680.jpg;ex9
64;64;Common;;Zarbi Y;Unown;1;Pokémon;Psychic;201;Kyoko Koizumi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478681.jpg;ex9
