rank;number;rarety_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
79;79;Rare;Krabboss;Kingler;Pokémon;Water;99;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167983.jpg;ecard1
80;80;Rare;Aligatueur;Feraligatr;Pokémon;Water;160;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167962.jpg;ecard1
81;81;Rare;Raichu;Raichu;Pokémon;Lightning;26;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168031.jpg;ecard1
82;82;Rare;Pichu;Pichu;Pokémon;Lightning;172;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168012.jpg;ecard1
83;83;Rare;Pharamp;Ampharos;Pokémon;Lightning;181;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167927.jpg;ecard1
84;84;Rare;Alakazam;Alakazam;Pokémon;Psychic;65;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167925.jpg;ecard1
85;85;Rare;Ectoplasma;Gengar;Pokémon;Psychic;94;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167968.jpg;ecard1
86;86;Rare;Mewtwo;Mewtwo;Pokémon;Psychic;150;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168006.jpg;ecard1
87;87;Rare;Mew;Mew;Pokémon;Psychic;151;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168004.jpg;ecard1
88;88;Rare;Triopikeur;Dugtrio;Pokémon;Fighting;51;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167953.jpg;ecard1
89;89;Rare;Mackogneur;Machamp;Pokémon;Fighting;68;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167989.jpg;ecard1
90;90;Rare;Grolem;Golem;Pokémon;Fighting;76;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167973.jpg;ecard1
91;91;Rare;Roucarnage;Pidgeot;Pokémon;Colorless;18;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168014.jpg;ecard1
92;92;Rare;Rapasdepic;Fearow;Pokémon;Colorless;22;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167960.jpg;ecard1
93;93;Rare;Mélodelfe;Clefable;Pokémon;Colorless;36;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167939.jpg;ecard1
94;94;Rare;Dracolosse;Dragonite;Pokémon;Colorless;149;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167949.jpg;ecard1
95;95;Rare;Tyranocif;Tyranitar;Pokémon;Darkness;248;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168045.jpg;ecard1
96;96;Rare;Airmure;Skarmory;Pokémon;Metal;227;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168037.jpg;ecard1
97;97;Rare Holo;Florizarre;Venusaur;Pokémon;Grass;3;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168048.jpg;ecard1
98;98;Rare Holo;Papilusion;Butterfree;Pokémon;Grass;12;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073849.jpg;ecard1
99;99;Rare Holo;Arbok;Arbok;Pokémon;Grass;24;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167930.jpg;ecard1
100;100;Rare Holo;Rafflésia;Vileplume;Pokémon;Grass;45;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168050.jpg;ecard1
101;101;Rare Holo;Smogogo;Weezing;Pokémon;Grass;110;Hajime Kusajima;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/74cfd160d82e11e5ba2b133d174544b5/101.jpg;ecard1
102;102;Rare Holo;Méganium;Meganium;Pokémon;Grass;154;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148519.jpg;ecard1
103;103;Rare Holo;Dracaufeu;Charizard;Pokémon;Fire;6;Hiromichi Sugiyama;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/21017500d74f11e58b32a5acf6c01547/103.jpg;ecard1
104;104;Rare Holo;Feunard;Ninetales;Pokémon;Fire;38;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168009.jpg;ecard1
105;105;Rare Holo;Galopa;Rapidash;Pokémon;Fire;78;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168033.jpg;ecard1
106;106;Rare Holo;Typhlosion;Typhlosion;Pokémon;Fire;157;K.  Hoshiba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168044.jpg;ecard1
107;107;Rare Holo;Magby;Magby;Pokémon;Fire;240;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1171067.jpg;ecard1
108;108;Rare Holo;Tortank;Blastoise;Pokémon;Water;9;Kimiya Masago;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/db9eb360d74e11e58b32a5acf6c01547/108.jpg;ecard1
109;109;Rare Holo;Tartard;Poliwrath;Pokémon;Water;62;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1171072.jpg;ecard1
