rank;number;rarety_type;ultra_type;fr_name;en_name;serie;super_type;energy;pokedex_number;artist;jap_url;list
16;16;Ultra;ex;Arcanin ex;Arcanine ex;1;Pokémon;Fire;59;Hikaru Koike;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/753180/016.jpg?1501970493;ex11
17;17;Rare;;Magmar;Magmar;1;Pokémon;Fire;126;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477897.jpg;ex11
18;18;Common;;Magby;Magby;1;Pokémon;Fire;240;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477898.jpg;ex11
19;19;Rare;;Chartor;Torkoal;1;Pokémon;Fire;324;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477899.jpg;ex11
20;20;Common;;Tentacool;Tentacool;1;Pokémon;Water;72;Tomoaki Imakuni;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477900.jpg;ex11
21;21;Uncommon;;Tentacruel;Tentacruel;1;Pokémon;Water;73;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477901.jpg;ex11
22;22;Rare Holo;;Lokhlass;Lapras;1;Pokémon;Water;131;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477902.jpg;ex11
23;23;Common;;Amonita;Omanyte;1;Pokémon;Water;138;Kenkichi Toyama;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477903.jpg;ex11
24;24;Rare;;Amonistar;Omastar;1;Pokémon;Water;139;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477818.jpg;ex11
25;25;Common;;Wailmer;Wailmer;1;Pokémon;Water;320;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477905.jpg;ex11
